Username,Handle,Timestamp,Text,Comments,Likes,Retweets
YO2,@Y_O_2,2020-10-25T11:12:34.000Z,"Replying to 
@kickbase次回もぜひ参加したいです！
Houdini力が上がる勉強会ですね！",1,,
百物語,@kickbase,2020-10-25T10:49:04.000Z,おかしい。酒屋さんでお酒を買っただけなのになぜ1万円を超えるのだ,,,4
KickbaseKing,@KickbaseKing,2020-10-25T10:24:41.000Z,"Replying to 
@ny7snOptimismus ist das wichtigste ",,,
KickbaseKing,@KickbaseKing,2020-10-25T09:09:50.000Z,"Replying to 
@PlayboiCola",,,2
KickbaseKing,@KickbaseKing,2020-10-25T09:09:01.000Z,Na für wen kann der #kickbase Spieltag heute nur besser werden?,1,,
百物語,@kickbase,2020-10-25T08:32:45.000Z,"モノづくりに携わるものがすべきことはRTのお願いではなく拡散に値するような心揺さぶる作品をつくることじゃないのかな。

もちろん拡散することだけが作品の価値を決めるという話じゃなくて、前者のお願いをしている人たちについての意見ね。",,,6
百物語,@kickbase,2020-10-25T08:30:50.000Z,「当方絵描き（モノづくり全般なんでもいいんだけど）です。いいねよりRTの方が嬉しいのでRTお願いします」という漫画やハッシュタグを見かけることがあるんだけど、そもそも拡散したいと思ったらみんな自発的にRTするだろうし、そこまでのクオリティに達していないだけではないだろうか。,,,
百物語,@kickbase,2020-10-25T08:20:52.000Z,"すげーw

Clip drop - AR Copy Paste - Capture and transfer anything around you | Product HuntClip drop - AR Copy Paste - Capture and transfer anything around you | Product Hunt
Clipdrop allows you to copy paste real world objects and transfer them to other devices around you.
producthunt.com",,,
MD5500,@MD5500,2020-10-25T07:29:04.000Z,"Replying to 
@kickbaseカメラを買いに行ったら、その価格帯なら今持ってるそのiPhoneの方が綺麗だからやめた方がいいとアドバイスされたって話はTLで見たことあります",,,
百物語,@kickbase,2020-10-25T07:21:32.000Z,"Replying to 
@macneko_ayuモデル「あっ、仕事なんで。」",,,1
百物語,@kickbase,2020-10-25T07:11:00.000Z,iPhoneってカメラなの。,1,,
百物語,@kickbase,2020-10-25T07:01:17.000Z,"おめシスの素晴らしいところは「新しい技術は本質的に面白い」というフレッシュな感覚を思い出させてくれること。

新しいオモチャで真剣に遊ぶ大人が近くにいるというのは幸せなことだ。 #おめシスはいいぞ",,1,7
