Username,Handle,Timestamp,Text,Comments,Likes,Retweets
Designrr,@Designrr4,2020-10-22T21:30:19.000Z,"7 Reasons You Should Publish Your Podcast Show Notes 
https://designrr.io/7-reasons-you-should-publish-your-podcast-show-notes/…

--
#Designrr #DesignrrBlog #Blog #PodcastShowNotes #NoteTaking #Podcasts #PodcastAdvice7 Reasons You Should Publish Your Podcast Show Notes
Podcasting is huge, and getting bigger. All over the world, people are listening to content on the go. And they love it. So, if you've decided that this is the year to launch a podcast, that's
designrr.io",,,
Tim King,@hellotimking,2020-10-22T20:42:46.000Z,"Bear – A Three Year Journey 

A story of #note taking, enabling tech, and me

Note taking is an incredibly personal thing. Some | Read More... https://hellotimking.com/2020/05/bear-a-three-year-journey/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #bearapp #digitalwriting #journal #journalling #notetaking #notetaking #onlinepublishing #wikiBear – A Three Year Journey | hellotimking
Note taking is an incredibly personal thing. Some like paper, others record their voice, and then there are those brave souls who wade into the hundreds of applications available that strive to be...
hellotimking.com",,,
Blesl Anja,@MotionAgile,2020-10-22T20:28:01.000Z,"Today’s #viztober is >Social Distancing<

#inktober #skribeforward #sketchnote #sketchnotes #inktobergermany #vizthink #visualthinking #sketchnoting #illustration #visualnotes #notetaking #drawing",,,1
QOwnNotes,@QOwnNotes,2020-10-22T17:17:33.000Z,"New release of QOwnNotes: v20.10.6 https://ift.tt/31yAfNN #notetaking #NextcloudQOwnNotes Changelog
Open source markdown note taking for Linux, Mac OS X and Windows, that works together with Nextcloud Notes
qownnotes.org",,,4
Rick Brenner,@rickbrenner,2020-10-22T13:31:00.000Z,"Next issue of my newsletter due out 10/28/2020: ""Notes to Self"": Many of us jot important reminders to ourselves on sticky notes, used envelopes, scraps of paper, and whatnot. Often we misplace these notes. There is a better way. https://ChacoCanyon.com/pointlookout/201028.shtml… #NoteTaking",,,
Noted.,@EverythingNoted,2020-10-22T10:00:01.000Z,"Have you been using our #TimeTag feature? Welp, it's not too late to start!

It lets you mark key moments in your audio notes so you can return to them later with just one tap/click without having to play back the whole recording.

Name a more useful #notetaking tool, we'll wait.",1,,6
Anders Sporring,@AndersSporring,2020-10-22T07:50:57.000Z,"Notetaking in 2020. My thoughts on Evernote & CO | by Anders Sporring | Aug, 2020 | Medium https://anderssporring.medium.com/notetaking-in-2020-a735733ea2fb… #Evernote #NoteTakingNotetaking in 2020
My thoughts on Evernote & CO
anderssporring.medium.com",,,
iAchieve Learning,@iachievelearn,2020-10-21T23:25:03.000Z,"Learning how to take good notes is an important skill that students should learn at a young age.

Visit our website for 6 strategies to use in order to be great note-takers - https://bit.ly/34g3FlD
.
#notetaking #homework #education #tutoring #studentsuccess #tutoringservice",,,1
Erica Brisson,@ericabrisson,2020-10-21T22:49:05.000Z,"Excited to draw gestures and hands with 
@YuriMalishenko
 & #vizthinkcph tomorrow! Thanks to Yuri for these hashtags: #sketchnote #sketchnoting #notetaking #drawing #sketch #sketching #visualnotes #creativity #inspiration #visualization #vizthinkcph #visualthinking #designthinkingYuri Malishenko",1,1,4
Mark Cassell,@Mark_Cassell,2020-10-20T14:40:25.000Z,"""Not Just a Notebook"" - Contains quirky prompts to jog the Muse who isn't playing fair. #writingcommunity #writers #author #writerslife #amwriting #writing #cats #catbooks #notetaking Get it here> https://allauthor.com/amazon/44694/",,2,4
Tim King,@hellotimking,2020-10-20T13:48:04.000Z,"Bear – A Three Year Journey 

A story of #note taking, enabling tech, and me

Note taking is an incredibly personal thing. Some | Read More... https://hellotimking.com/2020/05/bear-a-three-year-journey/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #bearapp #digitalwriting #journal #journalling #notetaking #notetaking #onlinepublishing #wikiBear – A Three Year Journey | hellotimking
Note taking is an incredibly personal thing. Some like paper, others record their voice, and then there are those brave souls who wade into the hundreds of applications available that strive to be...
hellotimking.com",,,
Mark Cassell,@Mark_Cassell,2020-10-20T06:35:27.000Z,"A notebook that is ""Not Just a Notebook"" - Contains quirky prompts to jog the Muse who isn't playing fair.  #writingcommunity #writers #author #writerslife #amwriting #writing #notetaking
Get it here:Not Just a Notebook: for writers on location (skull design)
Not Just a Notebook: for writers on location (skull design)
amazon.com",1,2,2
Tim King,@hellotimking,2020-10-19T22:43:51.000Z,"Welcome to the #Note Taking Apocalypse 

In a sea of apps, what matters most when taking notes?

If you’re like me then you’ll have found yourself often standing at the | Read More... https://hellotimking.com/2018/06/welcome-to-the-note-taking-apocalypse/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #dokuwiki #notetaking #notetaking #onenote #wardcunninghamWelcome to the Note Taking Apocalypse | hellotimking
If you’re like me then you’ll have found yourself often standing at the front door of your app store staring at the sheer wall of note taking applications that are available at the moment.
hellotimking.com",,,
Philippe Fanaro,@PFanaro,2020-10-19T17:46:11.000Z,"Talk about viral marketing...
@NotionHQ
 #notetaking",,,
European Chamber of Digital Commerce,@Juchtervbergen,2020-10-19T13:10:33.000Z,#evernote #design #productivity #software #notetaking Can Evernote make a comeback? http://dlvr.it/RjvNY3,,1,
SyntaxError,@DataAugmented,2020-10-19T13:06:02.000Z,"Can Evernote make a comeback? https://engadget.com/evernote-cross-platform-note-taking-app-redesign-interview-130026972.html… #productivity #notetaking #evernote #longform #redesign #software #tomorrow #featureCan Evernote make a comeback?
Evernote used to be the king of note-taking apps. “As a company, we had invented the personal productivity category,” Ian Small, CEO of Evernote told Engadget. It partnered with Moleskine to produce...
engadget.com",,,
Jörg Kantel,@jkantel,2020-10-19T12:10:26.000Z,Neu in meinem Wiki: #Obsidian http://blog.schockwellenreiter.de/2020/10/2020101901.html… #NoteTaking #Markdown #Zettelkasten,1,1,2
Notesgen,@notesgen,2020-10-19T03:34:40.000Z,"Read here: https://medium.com/@accounts_33128/top-3-note-taking-strategies-for-students-231226211ca8…

#leadwithnotesgen #success #motivation #goals #notes #notetaking #learners",,1,1
Kaori Minami,@_kaoririn_,2020-10-17T14:21:58.000Z,"#takenote
 #note #notetaking #study #studynote #handwritten #writing",,1,3
